I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,0 ,,,,
8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,0 ,,,,
8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,0 ,,,,
8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,0 ,,,,
8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,0 ,,,,
7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,0 ,,,,
7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,0 ,,,,
7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,0 ,,,,
5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,0 ,,,,
5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,0 ,,,,
5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,0 ,,,,
5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,0 ,,,,
5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,0 ,,,,
5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,0 ,,,,
5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,0 ,,,,
4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,0 ,,,,
4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,0 ,,,,
4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,0 ,,,,
4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,0 ,,,,
4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,0 ,,,,
4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,0 ,,,,
4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,0 ,,,,
3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,0 ,,,,
3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,0 ,,,,
3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,0 ,,,,
3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,0 ,,,,
3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,3.748,153.76,0 ,,,,
3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,3.698,153.926,0 ,,,,
3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,3.649,154.087,0 ,,,,
3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,3.601,154.243,0 ,,,,
3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,3.555,154.394,0 ,,,,
3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,3.509,154.541,0 ,,,,
3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,3.465,154.683,0 ,,,,
3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,3.422,154.821,0 ,,,,
3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,3.38,154.966,0 ,,,,
3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,3.339,155.086,0 ,,,,
3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,0 ,,,,
3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,0 ,,,,
3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,0 ,,,,
3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,3.184,155.573,0 ,,,,
3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,3.14,155.687,0 ,,,,
3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,3.112,155.796,0 ,,,,
2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,2.739,156.938,0 ,,,,
2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,2.712,157.02,0 ,,,,
2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,2.685,157.099,0 ,,,,
2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,2.659,157.177,0 ,,,,
2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,2.6333,157.254,0 ,,,,
2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,2.608,157.328,0 ,,,,
2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,2.584,157.402,0 ,,,,
2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,2.559,157.473,0 ,,,,
2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,2.536,157.544,0 ,,,,
2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,2.512,157.613,0 ,,,,
2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,2.49,157.68,0 ,,,,
2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,2.467,157.746,0 ,,,,
2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,2.445,157.811,0 ,,,,
2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,2.422,157.875,0 ,,,,
8.22748,0.80823,8.22748,0.80823,8.22748,0.80823,8.21981,0.80822,8.22748,0.80823,8.22748,0.80823,2 ,,,,
8.22748,0.80848,8.22748,0.80848,8.22748,0.80848,8.21981,0.80847,8.2248,0.80848,8.22748,0.80848,2 ,,,,
8.22748,0.80874,8.22748,0.80874,8.22748,0.80874,8.21981,0.80873,8.22748,0.80874,8.22748,0.80874,2 ,,,,
8.22747,0.81001,8.22747,0.81001,8.22747,0.81001,8.21979,0.81,8.22747,0.81001,8.22747,0.81001,2 ,,,,
8.22742,0.81638,8.22742,0.81638,8.22742,0.81638,8.21969,0.81637,8.22742,0.81638,8.22742,0.81638,2 ,,,,
8.22716,0.84823,8.22716,0.84823,8.22716,0.84823,8.2192,0.84822,8.22716,0.84823,8.22716,0.84823,2 ,,,,
8.22637,0.94933,8.22637,0.94933,8.22637,0.94933,8.2177,0.94933,8.22637,0.94933,8.22637,0.94933,2 ,,,,
8.22518,1.10722,8.22518,1.10722,8.22518,1.10722,8.21547,1.10721,8.22518,1.10722,8.22518,1.10722,2 ,,,,
8.22369,1.31811,8.22369,1.31811,8.22369,1.31811,8.21268,1.3181,8.22369,1.31811,8.22369,1.31811,2 ,,,,
8.22194,1.58298,8.22194,1.58298,8.22194,1.58298,8.20948,1.58297,8.22194,1.58298,8.22194,1.58298,2 ,,,,
8.22,1.90615,8.22,1.90615,8.22,1.90615,8.20598,1.90614,8.22,1.90615,8.22,1.90615,2 ,,,,
8.2179,2.29486,8.2179,2.29486,8.2179,2.29486,8.20229,2.29484,8.2179,2.29486,8.2179,2.29486,2 ,,,,
8.21602,2.68346,8.21602,2.68346,8.21602,2.68346,8.19908,2.68345,8.21602,2.68346,8.21602,2.68346,2 ,,,,
8.2138,3.20254,8.2138,3.20254,8.2138,3.20254,8.19543,3.20252,8.2138,3.20254,8.2138,3.20254,2 ,,,,
