I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault
8.22748 ,0.80823 ,8.22748 ,0.80823 ,0.00000 ,0.00000 ,8.22748 ,0.80823 ,8.22748 ,0.80823 ,8.22748 ,0.80823 ,1 
8.22748 ,0.80845 ,8.22748 ,0.80845 ,0.00000 ,0.00000 ,8.22748 ,0.80845 ,8.22748 ,0.80845 ,8.22748 ,0.80845 ,1 
8.22748 ,0.80868 ,8.22748 ,0.80868 ,0.00000 ,0.00000 ,8.22748 ,0.80868 ,8.22748 ,0.80868 ,8.22748 ,0.80868 ,1 
8.22747 ,0.80981 ,8.22747 ,0.80981 ,0.00000 ,0.00000 ,8.22747 ,0.80981 ,8.22747 ,0.80981 ,8.22747 ,0.80981 ,1 
8.22741 ,0.81549 ,8.22741 ,0.81549 ,-0.00001 ,0.00000 ,8.22741 ,0.81549 ,8.22741 ,0.81549 ,8.22741 ,0.81549 ,1 
8.22714 ,0.84385 ,8.22714 ,0.84385 ,-0.00007 ,0.00000 ,8.22714 ,0.84385 ,8.22714 ,0.84385 ,8.22714 ,0.84385 ,1 
8.22657 ,0.90461 ,8.22657 ,0.90461 ,-0.00019 ,0.00000 ,8.22657 ,0.90461 ,8.22657 ,0.90461 ,8.22657 ,0.90461 ,1 
8.22602 ,0.96535 ,8.22602 ,0.96535 ,-0.00031 ,0.00000 ,8.22602 ,0.96535 ,8.22602 ,0.96535 ,8.22602 ,0.96535 ,1 
8.22530 ,1.04704 ,8.22530 ,1.04704 ,-0.00047 ,0.00000 ,8.22530 ,1.04704 ,8.22530 ,1.04704 ,8.22530 ,1.04704 ,1 
8.22437 ,1.15538 ,8.22437 ,1.15538 ,-0.00067 ,0.00000 ,8.22437 ,1.15538 ,8.22437 ,1.15538 ,8.22437 ,1.15538 ,1 
8.22324 ,1.29504 ,8.22324 ,1.29504 ,-0.00093 ,0.00000 ,8.22324 ,1.29504 ,8.22324 ,1.29504 ,8.22324 ,1.29504 ,1 
8.22190 ,1.47101 ,8.22190 ,1.47101 ,-0.00124 ,0.00000 ,8.22190 ,1.47101 ,8.22190 ,1.47101 ,8.22190 ,1.47101 ,1 
8.22036 ,1.68877 ,8.22036 ,1.68877 ,-0.00162 ,0.00000 ,8.22036 ,1.68877 ,8.22036 ,1.68877 ,8.22036 ,1.68877 ,1 
8.21864 ,1.95436 ,8.21864 ,1.95436 ,-0.00205 ,0.00000 ,8.21864 ,1.95436 ,8.21864 ,1.95436 ,8.21864 ,1.95436 ,1 
8.21679 ,2.27456 ,8.21679 ,2.27456 ,-0.00255 ,0.00000 ,8.21679 ,2.27456 ,8.21679 ,2.27456 ,8.21679 ,2.27456 ,1 
