Irradiance,Resistance,I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,Fault
1000,10,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,0,155.03218,3.10064,155.83529,3
1000,2,8.1013,81.8215,8.1013,81.8215,8.1013,81.8215,8.1013,81.8215,0,81.01349,8.1013,81.8215,3
1000,3,7.9622,120.24,7.9622,120.24,7.9622,120.24,7.9622,120.24,0,119.433,7.9622,120.24,3
1000,4,6.918063,139.1861,6.918063,139.1861,6.918063,139.1861,6.918063,139.1861,0,138.3612,6.918063,139.1861,3
1000,5,5.7998,145.801,5.7998,145.801,5.7998,145.801,5.7998,145.801,0,144.995,5.7998,145.801,3
1000,6,4.954429,149.4378,4.954429,149.4378,4.954429,149.4378,4.954429,149.4378,0,148.632,4.954429,149.4378,3
1000,7,4.3148,151.8226,4.3148,151.8226,4.3148,151.8226,4.3148,151.8226,0,151.018,4.3148,151.8226,3
1000,8,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,3.8181,153.5304,0,152.7265,3.8181,153.5304,3
1000,9,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,3.4226,154.8216,0,154.018,3.4226,154.8216,3
1000,10,3.10064,155.83529,3.10064,155.83529,0,155.03218,3.10064,155.83529,3.10064,155.83529,3.10064,155.83529,3
1000,1.5,8.1122109,73.78515847,8.1122109,73.78515847,8.10126027,73.7851475,8.1122109,73.78515847,8.10126027,73.7851475,8.1122109,73.78515847,2
1000,2.5,7.97184831,119.5254125,7.97184831,119.5254125,7.79979151,119.5252405,7.97184831,119.5254125,7.79979151,119.5252405,7.97184831,119.5254125,2
1000,3.5,6.915217755,139.1899042,6.915217755,139.1899042,5.929420576,139.1888273,6.915217755,139.1899042,5.929420576,139.1888273,6.915217755,139.1899042,2
1000,4.5,5.75119,146.030977,5.75119,146.030977,4.63375541,146.029859,5.75119,146.030977,4.63375541,146.029859,5.75119,146.030977,2
1000,5.5,4.868853,149.7715693,4.868853,149.7715693,3.804719499,149.7705,4.868853,149.7715693,3.804719499,149.7705,4.868853,149.7715693,2
1000,6.5,4.20764281,152.20035,4.20764281,152.20035,3.23057,152.19938,4.20764281,152.20035,3.23057,152.19938,4.20764281,152.20035,2
1000,7.5,3.699774,153.9226846,3.699774,153.9226846,2.8083836,153.921793,3.699774,153.9226846,2.8083836,153.921793,3.699774,153.9226846,2
1000,8.5,3.299261622,155.213688,3.299261622,155.213688,2.48444028,155.212874,3.299261622,155.213688,2.48444028,155.212874,3.299261622,155.213688,2
1000,9.5,2.975996,156.219635,2.975996,156.219635,2.227832,156.2188873,2.975996,156.219635,2.227832,156.2188873,2.975996,156.219635,2
1000,10.5,2.7098947,157.0268329,2.7098947,157.0268329,2.01945436,157.026142,2.7098947,157.0268329,2.01945436,157.026142,2.7098947,157.0268329,2
1000,2,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,0
1000,2.1,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,0
1000,2.2,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,0
1000,2.3,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,0
1000,2.4,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,0
1000,2.5,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,0
1000,2.6,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,0
1000,2.7,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,0
1000,4.3,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,5.647,146.511,0
1000,4.4,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,5.537,147.005,0
1000,4.5,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,0
1000,4.6,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,0
1000,4.7,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,0
1000,4.8,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,0
1000,4.9,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,0
1000,5,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,4.954,149.437,0
1000,5.1,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,0
1000,5.2,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,0
1000,5.3,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,0
1000,5.4,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,0
270,0.5,5,45,5,45,5,45,5,45,5,45,5,45,4
280,0.6,5.5,46,5.5,46,5.5,46,5.5,46,5.5,46,5.5,46,4
300,0.7,6,48,6,48,6,48,6,48,6,48,6,48,4
350,0.8,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,6.6,49.9,4
400,0.9,7,52,7,52,7,52,7,52,7,52,7,52,4
450,1,7.7,53,7.7,53,7.7,53,7.7,53,7.7,53,7.7,53,4
500,1.1,8.118,54.496,8.137,54.496,8.137,54.496,8.137,54.496,8.137,54.496,8.137,54.496,4
510,1.2,8.11,59.329,8.134,59.329,8.134,59.329,8.134,59.329,8.134,59.329,8.134,59.329,4
520,1.3,8.102,64.153,8.125,64.153,8.125,64.153,8.125,64.153,8.125,64.153,8.125,64.153,4
540,1.4,8.093,69.969,8.118,69.969,8.118,69.969,8.118,69.969,8.118,69.969,8.118,69.969,4
1000,5.5,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,4.55,150.971,0
1000,5.6,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,4.47772,151.239,0
1000,5.7,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,4.406,151.496,0
1000,5.8,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,4.337,151.742,0
1000,5.9,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,4.27,151.979,0
1000,6,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,4.205,152.207,0
1000,6.1,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,4.142,152.426,0
1000,6.2,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,4.081,152.637,0
1000,6.3,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,4.022,152.841,0
1000,6.4,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,0
1000,6.5,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,0
1000,6.6,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,0
1000,6.7,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,3.8,153.588,0
